DO;Entité;Recrut réalisés à fin mai 2019;Total recrut. Ext 2019;Dt Vente;dt IC;dt ICS SCI MDM;Dt AM HDM;Dt IC SPES MDM;Dt ICS SCI SPES MDM;Dt RCT SPES HDM;Dt ICS IT;dt IAV;Dt Service;dt RAC2;dt CC ARC;dt CP;dt SAV
CARAIBES;AE Caraibes;;2;2;0;1;0;0;0;0;0;1;0;0;0;0;0
GNE;AE GE;;7;5;2;1;0;0;0;0;0;2;2;0;2;0;0
GNE;AE NDF;3;6;5;1;1;0;0;1;0;0;2;1;0;0;0;1
GO;AE OA;1;4;3;1;0;0;0;0;0;0;2;1;0;1;0;0
GO;AE NC;;6;5;2;0;0;1;0;0;0;2;1;0;0;0;1
GSE;AE AURA;;4;3;1;0;0;0;0;0;0;2;1;1;0;0;0
GSE;AE RM;1;3;2;0;0;0;0;0;0;0;2;1;1;0;0;0
GSO;AE OC;;6;5;2;0;0;0;0;1;0;2;1;0;0;1;0
GSO;AE SO;1;4;3;3;0;0;0;0;0;0;0;1;1;0;0;0
GSO;CSE SUD;;3;0;0;0;0;0;0;0;0;0;3;0;2;0;1
IDF;AE ISE;1;4;4;1;0;0;0;0;0;1;2;0;0;0;0;0
IDF;AE DOF;;4;3;1;1;0;0;0;0;0;1;1;1;0;0;0
IDF;AE PARIS;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0
IDF;CSE IDF;;3;0;0;0;0;0;0;0;0;0;3;0;1;2;0
REUNION;AE Réunion;;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0
;TOTAL E;8;60;44;15;5;0;1;1;1;1;20;16;4;6;3;3
